"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Language of Original Document","Document Type","Source"
"Guadamuz-Villalobos J.","Guadamuz-Villalobos, Jairo (57216902414)","57216902414","Creation of an aerial scanner for the digitization of heritage bibliographic material; [Creación de un escáner aéreo para la digitalización de material bibliográfico patrimonial]","2023","Informacion, Cultura y Sociedad","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183105569&doi=10.34096%2fICS.I49.12954&partnerID=40&md5=4f653c070ff9a106e7d2892b4fe15fb0","English","Article","Scopus"
"Lustig B.M.G.; Portuguez R.E.V.; Benz A.R.","Lustig, Bernardita María González (58181643900); Portuguez, Rodrigo Enrique Véliz (58181371400); Benz, Arlette Reyes (58181371500)","58181643900; 58181371400; 58181371500","Green Growth and Digitalization of the Economy: CJ Group as a Paradigm of Sustainable Development À la Korean; [Crecimiento verde y digitalización de la economía: CJ Group como paradigma de desarrollo sostenible a la coreana]","2022","Mexico y la Cuenca del Pacifico","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152378107&doi=10.32870%2fmycp.v11i32.792&partnerID=40&md5=a60dc39d5010838cc62a578f25dae18a","Spanish","Article","Scopus"
"Pensabene Lionti G.","Pensabene Lionti, Giuseppina (57210144551)","57210144551","THE IMPACT OF DIGITALIZACION ON WORKERS' FREEDOM OF EXPRESSION IN THE FIELD OF SOCIAL NETWORKS IN THE LIGHT OF THE ITALIAN CASE LAW ON INFORMATION AND TRANSPARENCY; [EL IMPACTO DE LA DIGITALIZACIÓN EN LA LIBERTAD DE EXPRESIÓN DEL TRABAJADOR EN EL ÁMBITO DE LAS REDES SOCIALES AL hILO DE LA JURISPRUDENCIA ITALIANA EN MATERIA DE INFORMACIÓN Y TRANSPARENCIA]","2022","Actualidad Juridica Iberoamericana","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140737011&partnerID=40&md5=dbe19202e0881a1efce5229227424363","Spanish","Article","Scopus"
"Sempere C.P.","Sempere, Carmen Pastor (57222964785)","57222964785","Presentation. European Union Action Plan and new challenges of digitalization for the social economy; [Plan de Acción de la Unión Europea y nuevos retos de la digitalización para la Economía Social]","2022","CIRIEC-Espana, Revista Juridica de Economia Social y Cooperativa","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180255799&partnerID=40&md5=6af134f4a9f746f5c9a5bb87b8eab5fe","Spanish","Note","Scopus"
"Ruiz A.M.; Alejos A.D.; Fernández-García M.I.","Ruiz, Alexis Maldonado (57215613348); Alejos, Alberto Dorado (57200637349); Fernández-García, María Isabel (57188759871)","57215613348; 57200637349; 57188759871","THE RECOVERY OF THE TERRA SIGILLATA SEALS FROM THE ROMAN CERAMIC WORKSHOP OF ISTURGI THROUGH THEIR DIGITALIZATION, RECONSTRUCTION AND 3D PRINTING; [LA RECUPERACIÓN DE LOS PUNZONES DE RÚBRICA DE LA TERRA SIGILLATA HISPÁNICA DEL ALFAR ROMANO DE ISTURGI A PARTIR DE SU DIGITALIZACIÓN, RECONSTRUCCIÓN E IMPRESIÓN 3D]","2022","Virtual Archaeology Review","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135271776&doi=10.4995%2fvar.2022.16532&partnerID=40&md5=d4a04107a6e0430600c0bd304996b547","English","Article","Scopus"
"Jáuregui D.A.P.; Jacinto J.B.L.; del Pilar Pinedo P.","Jáuregui, Diego Anthony Paredes (58154700700); Jacinto, Julio Brayan Luera (58154700800); del Pilar Pinedo, Patricia (57391748800)","58154700700; 58154700800; 57391748800","Digitization in file management in a public merchandise control entity; [Digitalización en la gestión de archivos en una entidad pública de control de mercancías]","2022","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150694425&doi=10.18687%2fLEIRD2022.1.1.196&partnerID=40&md5=969c487aa3cd902315f3350a87e15e06","Spanish","Conference paper","Scopus"
"Armijos-Buitrón V.-A.; Costa-Ruiz M.-P.; Aguirre-Armijos A.","Armijos-Buitrón, Verónica-Alexandra (57190666663); Costa-Ruiz, Mónica-Patricia (57190668210); Aguirre-Armijos, Alejandra (57875091600)","57190666663; 57190668210; 57875091600","Digitalization of agri-food systems through the use of mobile phones as a sustainable production strategy; [Digitalización de los sistemas agroalimentarios a través del uso del teléfono móvil como estrategia de producción sostenible]","2022","CISCI 2022 - Vigesima Primera Conferencia Iberoamericana en Sistemas, Cibernetica e Informatica, Decimo Noveno Simposium Iberoamericano en Educacion, Cibernetica e Informatica - Memorias","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137289704&doi=10.54808%2fCISCI2022.01.1&partnerID=40&md5=599fbabd2836cd94cca71949cee24a8b","Spanish","Conference paper","Scopus"
"Carnicero Plaza I.; González Gaya C.; Rosales Prieto V.F.","Carnicero Plaza, Ignacio (57343568500); González Gaya, Cristina (6504525637); Rosales Prieto, Víctor F. (57216880749)","57343568500; 6504525637; 57216880749","PROPOSALS ON THE USE OF DIGITALIZATION AND AGILE METHODOLOGIES IN TECHNICAL EDUCATION; [PROPUESTAS SOBRE EL USO DE LA DIGITALIZACIÓN Y METODOLOGÍAS ÁGILES EN LA FORMACIÓN EN ENSEÑANZAS TÉCNICAS]","2021","Proceedings from the International Congress on Project Management and Engineering","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127606700&partnerID=40&md5=08a42852ae9276e4836676bef2c6c3d2","Spanish","Conference paper","Scopus"
"Areces F.R.","Areces, Fundacion RamOn (55458840800)","55458840800","Business dynamics in Spain and digitalization; [Dinamica empresarial en espana y digitalizacion]","2020","Revista de Occidente","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098258797&partnerID=40&md5=261552a015a4ba427dd2b7e31d9de4e7","French","Review","Scopus"
"Maimina E.; Puzynya T.; Grishina T.; Psareva N.; Stytsyuk R.","Maimina, Elvira (57203914876); Puzynya, Tatiana (57203154716); Grishina, Tatiana (57208082590); Psareva, Nasezhda (57200163781); Stytsyuk, Rita (57203782316)","57203914876; 57203154716; 57208082590; 57200163781; 57203782316","New professions emerging out of the development of robotics","2019","Espacios","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063732339&partnerID=40&md5=61ce096c292e66e4e78560313f812b4c","English","Article","Scopus"
